epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,936.21,0.30483,0.91649,1,0.20798,0.00333102,0.00333102,0.00333102
2,1940.51,0.25171,0.93425,1,0.1769,0.00644443,0.00644443,0.00644443
3,2853.12,0.28487,0.90472,1,0.24166,0.00933784,0.00933784,0.00933784
4,4027.84,0.29545,0.91788,1,0.22211,0.00901,0.00901,0.00901
5,5131.94,0.25731,0.93729,1,0.1706,0.00868,0.00868,0.00868
6,6153.32,0.24993,0.94081,1,0.15256,0.00835,0.00835,0.00835
7,47371.5,0.21908,0.9501,1,0.13349,0.00802,0.00802,0.00802
8,48410.5,0.20258,0.95392,1,0.11727,0.00769,0.00769,0.00769
9,76247,0.19728,0.95792,1,0.10973,0.00736,0.00736,0.00736
10,77475,0.18874,0.95813,1,0.10682,0.00703,0.00703,0.00703
11,78875.7,0.1835,0.96187,1,0.09989,0.0067,0.0067,0.0067
12,80829.6,0.17657,0.96517,1,0.09233,0.00637,0.00637,0.00637
13,82155.9,0.16641,0.96769,1,0.08391,0.00604,0.00604,0.00604
14,84290.9,0.1618,0.96938,1,0.08156,0.00571,0.00571,0.00571
15,87671.4,0.15252,0.96999,1,0.08117,0.00538,0.00538,0.00538
16,89519.7,0.15153,0.97429,1,0.07165,0.00505,0.00505,0.00505
17,91016.9,0.14028,0.9772,1,0.0647,0.00472,0.00472,0.00472
18,134121,0.13696,0.97846,1,0.05883,0.00439,0.00439,0.00439
19,135686,0.13377,0.97894,1,0.05911,0.00406,0.00406,0.00406
20,137308,0.12875,0.98085,1,0.05359,0.00373,0.00373,0.00373
21,138891,0.12051,0.98263,1,0.04964,0.0034,0.0034,0.0034
22,139993,0.11658,0.9841,1,0.04601,0.00307,0.00307,0.00307
23,142076,0.11282,0.98558,1,0.04349,0.00274,0.00274,0.00274
24,144375,0.10834,0.9871,1,0.03894,0.00241,0.00241,0.00241
25,161134,0.09896,0.98784,1,0.03746,0.00208,0.00208,0.00208
26,167805,0.09329,0.98862,1,0.03457,0.00175,0.00175,0.00175
27,169218,0.09124,0.98797,1,0.03414,0.00142,0.00142,0.00142
28,170353,0.08887,0.98932,1,0.03178,0.00109,0.00109,0.00109
29,178165,0.08126,0.98984,1,0.02956,0.00076,0.00076,0.00076
30,179373,0.07706,0.99001,1,0.0286,0.00043,0.00043,0.00043
